id_cientificname,Scientific Name
2,Arapaima gigas
3,Hippocampus erectus
4,Hippocampus ingens
5,Hippocampus patagonicus
6,Hippocampus reidi
7,Hippocampus zosterae
8,Antilope cervicapra
9,Lama guanicoe
10,Vicugna vicugna
11,Blastocerus dichotomus
12,Hippocamelus antisensis
13,Hippocamelus bisulcus
14,Mazama temama cerasina
15,Odocoileus virginianus mayensis
16,Ozotoceros bezoarticus
17,Pudu mephistophiles
18,Pudu puda
19,Catagonus wagneri
20,Pecari tajacu
21,Tayassu pecari
22,Cerdocyon thous
23,Chrysocyon brachyurus
24,Lycalopex culpaeus
25,Lycalopex fulvipes
26,Lycalopex griseus
27,Lycalopex gymnocercus
28,Speothos venaticus
29,Leopardus braccatus
30,Leopardus colocolo
31,Leopardus geoffroyi
32,Leopardus guigna
33,Leopardus jacobitus
34,Leopardus pajeros
35,Leopardus pardalis
36,Leopardus tigrinus
37,Leopardus wiedii
38,Panthera onca
39,Puma concolor
40,Puma concolor costaricensis
41,Puma concolor couguar
42,Puma yagouaroundi
43,Herpestes javanicus
44,Herpestes javanicus auropunctatus
45,Conepatus humboldtii
46,Lontra felina
47,Lontra longicaudis
48,Lontra provocax
49,Pteronura brasiliensis
50,Eira barbara
51,Galictis vittata
52,Arctocephalus australis
53,Arctocephalus galapagoensis
54,Arctocephalus gazella
55,Arctocephalus philippii
56,Arctocephalus tropicalis
57,Mirounga leonina
58,Monachus tropicalis
59,Bassaricyon gabbii
60,Bassariscus sumichrasti
61,Nasua narica
62,Nasua nasua solitaria
63,Potos flavus
64,Tremarctos ornatus
65,Eubalaena australis
66,Eubalaena glacialis
67,Balaenoptera acutorostrata
68,Balaenoptera bonaerensis
69,Balaenoptera borealis
70,Balaenoptera edeni
71,Balaenoptera musculus
72,Balaenoptera physalus
73,Megaptera novaeangliae
74,Cephalorhynchus commersonii
75,Cephalorhynchus eutropia
76,Delphinus capensis
77,Delphinus delphis
78,Feresa attenuata
79,Globicephala macrorhynchus
80,Globicephala melas
81,Grampus griseus
82,Lagenodelphis hosei
83,Lagenorhynchus australis
84,Lagenorhynchus cruciger
85,Lagenorhynchus obscurus
86,Lissodelphis peronii
87,Orcinus orca
88,Peponocephala electra
89,Pseudorca crassidens
90,Sotalia fluviatilis
91,Sotalia guianensis
92,Stenella attenuata
93,Stenella clymene
94,Stenella coeruleoalba
95,Stenella frontalis
96,Stenella longirostris
97,Steno bredanensis
98,Tursiops truncatus
99,Inia geoffrensis
100,Pontoporia blainvillei
101,Caperea marginata
102,Phocoena dioptrica
103,Phocoena spinipinnis
104,Kogia breviceps
105,Kogia sima
106,Physeter macrocephalus
107,Berardius arnuxii
108,Hyperoodon planifrons
109,Mesoplodon bowdoini
110,Mesoplodon densirostris
111,Mesoplodon europaeus
112,Mesoplodon ginkgodens
113,Mesoplodon grayi
114,Mesoplodon hectori
115,Mesoplodon hotaula
116,Mesoplodon layardii
117,Mesoplodon mirus
118,Mesoplodon peruvianus
119,Mesoplodon traversii
120,Tasmacetus shepherdi
121,Ziphius cavirostris
122,Platyrrhinus lineatus
123,Cabassous centralis
124,Cabassous tatouay
125,Chaetophractus nationi
126,Priodontes maximus
127,Tapirus bairdii
128,Tapirus pinchaque
129,Tapirus terrestris
130,Bradypus pygmaeus
131,Bradypus variegatus
132,Choloepus hoffmanni
133,Myrmecophaga tridactyla
134,Tamandua mexicana
135,Aotus azarae
136,Aotus hershkovitzi
137,Aotus jorgehernandezi
138,Aotus lemurinus
139,Aotus miconax
140,Aotus nancymaae
141,Aotus nigriceps
142,Aotus trivirgatus
143,Aotus vociferans
144,Alouatta belzebul
145,Alouatta caraya
146,Alouatta coibensis
147,Alouatta guariba
148,Alouatta macconnelli
149,Alouatta nigerrima
150,Alouatta palliata
151,Alouatta pigra
152,Alouatta sara
153,Alouatta seniculus
154,Ateles belzebuth
155,Ateles chamek
156,Ateles fusciceps
157,Ateles geoffroyi
158,Ateles geoffroyi frontatus
159,Ateles geoffroyi ornatus
160,Ateles hybridus
161,Ateles marginatus
162,Ateles paniscus
163,Brachyteles arachnoides
164,Brachyteles hypoxanthus
165,Lagothrix cana
166,Lagothrix lagotricha
167,Lagothrix lugens
168,Lagothrix poeppigii
169,Oreonax flavicauda
170,Callimico goeldii
171,Callithrix acariensis
172,Callithrix argentata
173,Callithrix aurita
174,Callithrix chrysoleuca
175,Callithrix emiliae
176,Callithrix flaviceps
177,Callithrix geoffroyi
178,Callithrix humeralifera
179,Callithrix humilis
180,Callithrix intermedia
181,Callithrix jacchus
182,Callithrix kuhlii
183,Callithrix leucippe
184,Callithrix manicorensis
185,Callithrix marcai
186,Callithrix mauesi
187,Callithrix melanura
188,Callithrix nigriceps
189,Callithrix penicillata
190,Callithrix pygmaea
191,Callithrix saterei
192,Cebus albifrons
193,Cebus apella
194,Cebus capucinus
195,Cebus flavius
196,Cebus kaapori
197,Cebus libidinosus
198,Cebus nigritus
199,Cebus olivaceus
200,Cebus xanthosternos
201,Leontopithecus caissara
202,Leontopithecus chrysomelas
203,Leontopithecus chrysopygus
204,Leontopithecus rosalia
205,Mico rondoni
206,Saguinus bicolor
207,Saguinus fuscicollis
208,Saguinus geoffroyi
209,Saguinus graellsi
210,Saguinus imperator
211,Saguinus inustus
212,Saguinus labiatus
213,Saguinus leucopus
214,Saguinus martinsi
215,Saguinus melanoleucus
216,Saguinus midas
217,Saguinus mystax
218,Saguinus niger
219,Saguinus nigricollis
220,Saguinus oedipus
221,Saguinus pileatus
222,Saguinus tripartitus
223,Saguinus ursulus
224,Saimiri boliviensis
225,Saimiri collinsi
226,Saimiri oerstedii
227,Saimiri sciureus
228,Saimiri ustus
229,Saimiri vanzolinii
230,Cercopithecus mona
231,Chlorocebus sabaeus
232,Cacajao calvus
233,Cacajao melanocephalus
234,Cacajao oukary
235,Callicebus aureipalatii
236,Callicebus baptista
237,Callicebus barbarabrownae
238,Callicebus bernhardi
239,Callicebus brunneus
240,Callicebus caligatus
241,Callicebus caquetensis
242,Callicebus cinerascens
243,Callicebus coimbrai
244,Callicebus cupreus
245,Callicebus discolor
246,Callicebus donacophilus
247,Callicebus dubius
248,Callicebus hoffmannsi
249,Callicebus lucifer
250,Callicebus lugens
251,Callicebus medemi
252,Callicebus melanochir
253,Callicebus modestus
254,Callicebus moloch
255,Callicebus nigrifrons
256,Callicebus oenanthe
257,Callicebus olallae
258,Callicebus ornatus
259,Callicebus pallescens
260,Callicebus personatus
261,Callicebus purinus
262,Callicebus regulus
263,Callicebus stephennashi
264,Callicebus torquatus
265,Chiropotes albinasus
266,Chiropotes chiropotes
267,Chiropotes israelita
268,Chiropotes satanas
269,Chiropotes utahickae
270,Pithecia aequatorialis
271,Pithecia albicans
272,Pithecia chrysocephala
273,Pithecia hirsuta
274,Pithecia inusta
275,Pithecia irrorata
276,Pithecia milleri
277,Pithecia monachus
278,Pithecia napensis
279,Pithecia pithecia
280,Pithecia vanzolinii
281,Chinchilla chinchilla
282,Chinchilla lanigera
283,Cuniculus paca
284,Dasyprocta punctata
285,Sphiggurus mexicanus
286,Sphiggurus spinosus
287,Sciurus deppei
288,Trichechus inunguis
289,Trichechus manatus
290,Coscoroba coscoroba
291,Cygnus melancoryphus
292,Dendrocygna arborea
293,Dendrocygna autumnalis
294,Dendrocygna bicolor
295,Sarkidiornis melanotos
296,Abeillia abeillei
297,Adelomyia melanogenys
298,Aglaeactis aliciae
299,Aglaeactis castelnaudii
300,Aglaeactis cupripennis
301,Aglaeactis pamela
302,Aglaiocercus coelestis
303,Aglaiocercus kingi
304,Amazilia alticola
305,Amazilia amabilis
306,Amazilia amazilia
307,Amazilia beryllina
308,Amazilia boucardi
309,Amazilia brevirostris
310,Amazilia candida
311,Amazilia castaneiventris
312,Amazilia chionogaster
313,Amazilia cupreicauda
314,Amazilia cyanifrons
315,Amazilia cyanocephala
316,Amazilia cyanura
317,Amazilia edward
318,Amazilia fimbriata
319,Amazilia franciae
320,Amazilia lactea
321,Amazilia leucogaster
322,Amazilia luciae
323,Amazilia rondoniae
324,Amazilia rosenbergi
325,Amazilia rutila
326,Amazilia saucerrottei
327,Amazilia tobaci
328,Amazilia tzacatl
329,Amazilia versicolor
330,Amazilia violiceps
331,Amazilia viridicauda
332,Amazilia viridifrons
333,Amazilia viridigaster
334,Amazilia yucatanensis
335,Androdon aequatorialis
336,Anopetia gounellei
337,Anthocephala floriceps
338,Anthracothorax dominicus
339,Anthracothorax mango
340,Anthracothorax nigricollis
341,Anthracothorax prevostii
342,Anthracothorax recurvirostris
343,Anthracothorax veraguensis
344,Anthracothorax viridigula
345,Aphantochroa cirrochloris
346,Archilochus colubris
347,Atthis ellioti
348,Augastes lumachella
349,Augastes scutatus
350,Basilinna leucotis
351,Boissonneaua flavescens
352,Boissonneaua jardini
353,Boissonneaua matthewsii
354,Calliphlox amethystina
355,Calliphlox bryantae
356,Calliphlox evelynae
357,Calliphlox mitchellii
358,Campylopterus curvipennis
359,Campylopterus cuvierii
360,Campylopterus duidae
361,Campylopterus ensipennis
362,Campylopterus falcatus
363,Campylopterus hemileucurus
364,Campylopterus hyperythrus
365,Campylopterus largipennis
366,Campylopterus phainopeplus
367,Campylopterus rufus
368,Campylopterus villaviscensio
369,Chaetocercus astreans
370,Chaetocercus berlepschi
371,Chaetocercus bombus
372,Chaetocercus heliodor
373,Chaetocercus jourdanii
374,Chaetocercus mulsanti
375,Chalcostigma herrani
376,Chalcostigma heteropogon
377,Chalcostigma olivaceum
378,Chalcostigma ruficeps
379,Chalcostigma stanleyi
380,Chalybura buffonii
381,Chalybura urochrysia
382,Chlorostilbon alice
383,Chlorostilbon assimilis
384,Chlorostilbon canivetii
385,Chlorostilbon lucidus
386,Chlorostilbon mellisugus
387,Chlorostilbon notatus
388,Chlorostilbon olivaresi
389,Chlorostilbon poortmani
390,Chlorostilbon ricordii
391,Chlorostilbon russatus
392,Chlorostilbon stenurus
393,Chlorostilbon swainsonii
394,Chrysolampis mosquitus
395,Chrysuronia oenone
396,Clytolaema rubricauda
397,Coeligena bonapartei
398,Coeligena coeligena
399,Coeligena helianthea
400,Coeligena iris
401,Coeligena lutetiae
402,Coeligena phalerata
403,Coeligena prunellei
404,Coeligena torquata
405,Coeligena violifer
406,Coeligena wilsoni
407,Colibri coruscans
408,Colibri delphinae
409,Colibri serrirostris
410,Colibri thalassinus
411,Cyanophaia bicolor
412,Damophila julie
413,Discosura conversii
414,Discosura langsdorffi
415,Discosura letitiae
416,Discosura longicaudus
417,Discosura popelairii
418,Doricha enicura
419,Doryfera johannae
420,Doryfera ludovicae
421,Elvira chionura
422,Elvira cupreiceps
423,Ensifera ensifera
424,Eriocnemis alinae
425,Eriocnemis cupreoventris
426,Eriocnemis derbyi
427,Eriocnemis glaucopoides
428,Eriocnemis godini
429,Eriocnemis isabellae
430,Eriocnemis luciani
431,Eriocnemis mirabilis
432,Eriocnemis mosquera
433,Eriocnemis nigrivestis
434,Eriocnemis vestita
435,Eugenes fulgens
436,Eulampis holosericeus
437,Eulampis jugularis
438,Eulidia yarrellii
439,Eupetomena macroura
440,Eupherusa eximia
441,Eupherusa nigriventris
442,Eutoxeres aquila
443,Eutoxeres condamini
444,Florisuga fusca
445,Florisuga mellivora
446,Glaucis aeneus
447,Glaucis dohrnii
448,Glaucis hirsutus
449,Goethalsia bella
450,Goldmania violiceps
451,Haplophaedia assimilis
452,Haplophaedia aureliae
453,Haplophaedia lugens
454,Heliactin bilophus
455,Heliangelus amethysticollis
456,Heliangelus exortis
457,Heliangelus mavors
458,Heliangelus micraster
459,Heliangelus regalis
460,Heliangelus strophianus
461,Heliangelus viola
462,Heliangelus zusii
463,Heliodoxa aurescens
464,Heliodoxa branickii
465,Heliodoxa gularis
466,Heliodoxa imperatrix
467,Heliodoxa jacula
468,Heliodoxa leadbeateri
469,Heliodoxa rubinoides
470,Heliodoxa schreibersii
471,Heliodoxa xanthogonys
472,Heliomaster constantii
473,Heliomaster furcifer
474,Heliomaster longirostris
475,Heliomaster squamosus
476,Heliothryx auritus
477,Heliothryx barroti
478,Hylocharis chrysura
479,Hylocharis cyanus
480,Hylocharis eliciae
481,Hylocharis grayi
482,Hylocharis sapphirina
483,Hylonympha macrocerca
484,Klais guimeti
485,Lafresnaya lafresnayi
486,Lampornis amethystinus
487,Lampornis calolaemus
488,Lampornis castaneoventris
489,Lampornis hemileucus
490,Lampornis sybillae
491,Lampornis viridipallens
492,Lamprolaima rhami
493,Lepidopyga coeruleogularis
494,Lepidopyga goudoti
495,Lepidopyga lilliae
496,Lesbia nuna
497,Lesbia victoriae
498,Leucippus baeri
499,Leucippus chlorocercus
500,Leucippus fallax
501,Leucippus taczanowskii
502,Leucochloris albicollis
503,Loddigesia mirabilis
504,Lophornis adorabilis
505,Lophornis chalybeus
506,Lophornis delattrei
507,Lophornis gouldii
508,Lophornis helenae
509,Lophornis magnificus
510,Lophornis ornatus
511,Lophornis pavoninus
512,Lophornis stictolophus
513,Mellisuga helenae
514,Mellisuga minima
515,Metallura aeneocauda
516,Metallura baroni
517,Metallura eupogon
518,Metallura iracunda
519,Metallura odomae
520,Metallura phoebe
521,Metallura theresiae
522,Metallura tyrianthina
523,Metallura williami
524,Microchera albocoronata
525,Microstilbon burmeisteri
526,Myrmia micrura
527,Myrtis fanny
528,Ocreatus underwoodii
529,Opisthoprora euryptera
530,Oreonympha nobilis
531,Oreotrochilus adela
532,Oreotrochilus chimborazo
533,Oreotrochilus estella
534,Oreotrochilus leucopleurus
535,Oreotrochilus melanogaster
536,Orthorhyncus cristatus
537,Oxypogon guerinii
538,Panterpe insignis
539,Patagona gigas
540,Phaethornis aethopyga
541,Phaethornis anthophilus
542,Phaethornis atrimentalis
543,Phaethornis augusti
544,Phaethornis bourcieri
545,Phaethornis eurynome
546,Phaethornis griseogularis
547,Phaethornis guy
548,Phaethornis hispidus
549,Phaethornis idaliae
550,Phaethornis koepckeae
551,Phaethornis longirostris
552,Phaethornis longuemareus
553,Phaethornis malaris
554,Phaethornis nattereri
555,Phaethornis philippii
556,Phaethornis pretrei
557,Phaethornis ruber
558,Phaethornis rupurumii
559,Phaethornis squalidus
560,Phaethornis striigularis
561,Phaethornis stuarti
562,Phaethornis subochraceus
563,Phaethornis superciliosus
564,Phaethornis syrmatophorus
565,Phaethornis yaruqui
566,Phlogophilus harterti
567,Phlogophilus hemileucurus
568,Polyonymus caroli
569,Polytmus guainumbi
570,Polytmus milleri
571,Polytmus theresiae
572,Pterophanes cyanopterus
573,Ramphodon naevius
574,Ramphomicron dorsale
575,Ramphomicron microrhynchum
576,Rhodopis vesper
577,Sappho sparganura
578,Schistes geoffroyi
579,Selasphorus ardens
580,Selasphorus flammula
581,Selasphorus platycercus
582,Selasphorus rufus
583,Selasphorus scintilla
584,Sephanoides fernandensis
585,Sephanoides sephanoides
586,Stephanoxis lalandi
587,Sternoclyta cyanopectus
588,Taphrolesbia griseiventris
589,Taphrospilus hypostictus
590,Thalurania colombica
591,Thalurania fannyi
592,Thalurania furcata
593,Thalurania glaucopis
594,Thalurania watertonii
595,Thaumastura cora
596,Threnetes niger
597,Threnetes ruckeri
598,Tilmatura dupontii
599,Topaza pella
600,Topaza pyra
601,Trochilus polytmus
602,Trochilus scitulus
603,Urochroa bougueri
604,Urosticte benjamini
605,Burhinus bistriatus
606,Numenius borealis
607,Jabiru mycteria
608,Phoenicoparrus andinus
609,Phoenicoparrus jamesi
610,Phoenicopterus chilensis
611,Phoenicopterus ruber
612,Eudocimus ruber
613,Platalea leucorodia
614,Accipiter bicolor
615,Accipiter collaris
616,Accipiter cooperii
617,Accipiter gundlachi
618,Accipiter poliogaster
619,Accipiter striatus
620,Accipiter superciliosus
621,Asturina nitida
622,Busarellus nigricollis
623,Buteo albicaudatus
624,Buteo albigula
625,Buteo albonotatus
626,Buteo brachyurus
627,Buteo galapagoensis
628,Buteo jamaicensis
629,Buteo leucorrhous
630,Buteo magnirostris
631,Buteo platypterus
632,Buteo poecilochrous
633,Buteo polyosoma
634,Buteo ridgwayi
635,Buteo swainsoni
636,Buteo ventralis
637,Buteogallus aequinoctialis
638,Buteogallus anthracinus
639,Buteogallus meridionalis
640,Buteogallus subtilis
641,Buteogallus urubitinga
642,Chondrohierax uncinatus
643,Chondrohierax uncinatus wilsonii
644,Circus buffoni
645,Circus cinereus
646,Circus cyaneus
647,Elanoides forficatus
648,Elanus leucurus
649,Gampsonyx swainsonii
650,Geranoaetus melanoleucus
651,Geranospiza caerulescens
652,Haliaeetus leucocephalus
653,Harpagus bidentatus
654,Harpagus diodon
655,Harpia harpyja
656,Harpyhaliaetus coronatus
657,Harpyhaliaetus solitarius
658,Ictinia mississippiensis
659,Ictinia plumbea
660,Leptodon cayanensis
661,Leucopternis albicollis
662,Leucopternis kuhli
663,Leucopternis lacernulatus
664,Leucopternis melanops
665,Leucopternis occidentalis
666,Leucopternis plumbeus
667,Leucopternis polionotus
668,Leucopternis princeps
669,Leucopternis schistaceus
670,Leucopternis semiplumbeus
671,Morphnus guianensis
672,Oroaetus isidori
673,Parabuteo unicinctus
674,Rostrhamus hamatus
675,Rostrhamus sociabilis
676,Spizaetus ornatus
677,Spizaetus tyrannus
678,Spizastur melanoleucus
679,Sarcoramphus papa
680,Vultur gryphus
681,Caracara cheriway
682,Caracara plancus
683,Daptrius ater
684,Falco columbarius
685,Falco deiroleucus
686,Falco femoralis
687,Falco peregrinus
688,Falco rufigularis
689,Falco sparverius
690,Falco tinnunculus
691,Herpetotheres cachinnans
692,Ibycter americanus
693,Micrastur buckleyi
694,Micrastur gilvicollis
695,Micrastur mintoni
696,Micrastur mirandollei
697,Micrastur plumbeus
698,Micrastur ruficollis
699,Micrastur semitorquatus
700,Milvago chimachima
701,Milvago chimango
702,Phalcoboenus albogularis
703,Phalcoboenus australis
704,Phalcoboenus carunculatus
705,Phalcoboenus megalopterus
706,Spiziapteryx circumcincta
707,Pandion haliaetus
708,Crax alberti
709,Crax blumenbachii
710,Crax daubentoni
711,Crax globulosa
712,Crax rubra
713,Mitu mitu
714,Oreophasis derbianus
715,Ortalis vetula
716,Pauxi pauxi
717,Penelope albipennis
718,Penelope purpurascens
719,Penelopina nigra
720,Pipile jacutinga
721,Pipile pipile
722,Meleagris ocellata
723,Pavo cristatus
724,Grus canadensis
725,Grus canadensis nesiotes
726,Cephalopterus ornatus
727,Cephalopterus penduliger
728,Cotinga maculata
729,Rupicola peruvianus
730,Rupicola rupicola
731,Xipholena atropurpurea
732,Gubernatrix cristata
733,Paroaria capitata
734,Paroaria coronata
735,Tangara fastuosa
736,Lonchura oryzivora
737,Carduelis cucullata
738,Carduelis yarrellii
739,Xanthopsar flavus
740,Paradisaea apoda
741,Semnornis ramphastinus
742,Baillonius bailloni
743,Pteroglossus aracari
744,Pteroglossus castanotis
745,Pteroglossus viridis
746,Ramphastos dicolorus
747,Ramphastos sulfuratus
748,Ramphastos toco
749,Ramphastos tucanus
750,Ramphastos vitellinus
751,Selenidera maculirostris
752,Podilymbus gigas
753,Amazona aestiva
754,Amazona agilis
755,Amazona albifrons
756,Amazona amazonica
757,Amazona arausiaca
758,Amazona auropalliata
759,Amazona autumnalis
760,Amazona barbadensis
761,Amazona brasiliensis
762,Amazona collaria
763,Amazona dufresniana
764,Amazona farinosa
765,Amazona festiva
766,Amazona guildingii
767,Amazona imperialis
768,Amazona kawalli
769,Amazona leucocephala
770,Amazona mercenaria
771,Amazona ochrocephala
772,Amazona oratrix
773,Amazona pretrei
774,Amazona rhodocorytha
775,Amazona tucumana
776,Amazona ventralis
777,Amazona versicolor
778,Amazona vinacea
779,Amazona xantholora
780,Amazona xanthops
781,Anodorhynchus glaucus
782,Anodorhynchus hyacinthinus
783,Anodorhynchus leari
784,Ara ambiguus
785,Ara ararauna
786,Ara chloropterus
787,Ara glaucogularis
788,Ara macao
789,Ara militaris
790,Ara rubrogenys
791,Ara severus
792,Aratinga acuticaudata
793,Aratinga aurea
794,Aratinga auricapillus
795,Aratinga cactorum
796,Aratinga canicularis
797,Aratinga chloroptera
798,Aratinga erythrogenys
799,Aratinga euops
800,Aratinga finschi
801,Aratinga holochlora
802,Aratinga jandaya
803,Aratinga leucophthalma
804,Aratinga maculata
805,Aratinga mitrata
806,Aratinga nana
807,Aratinga pertinax
808,Aratinga solstitialis
809,Aratinga strenua
810,Aratinga wagleri
811,Aratinga weddellii
812,Bolborhynchus ferrugineifrons
813,Bolborhynchus lineola
814,Bolborhynchus orbygnesius
815,Brotogeris chiriri
816,Brotogeris chrysoptera
817,Brotogeris cyanoptera
818,Brotogeris jugularis
819,Brotogeris pyrrhoptera
820,Brotogeris sanctithomae
821,Brotogeris tirica
822,Brotogeris versicolurus
823,Cyanoliseus patagonus
824,Cyanopsitta spixii
825,Deroptyus accipitrinus
826,Diopsittaca nobilis
827,Enicognathus ferrugineus
828,Enicognathus leptorhynchus
829,Forpus coelestis
830,Forpus conspicillatus
831,Forpus modestus
832,Forpus passerinus
833,Forpus xanthops
834,Forpus xanthopterygius
835,Graydidascalus brachyurus
836,Guarouba guarouba
837,Hapalopsittaca amazonina
838,Hapalopsittaca fuertesi
839,Hapalopsittaca melanotis
840,Hapalopsittaca pyrrhops
841,Leptosittaca branickii
842,Myiopsitta monachus
843,Nandayus nenday
844,Nannopsittaca dachilleae
845,Nannopsittaca panychlora
846,Ognorhynchus icterotis
847,Orthopsittaca manilata
848,Pionites leucogaster
849,Pionites melanocephalus
850,Pionopsitta aurantiocephala
851,Pionopsitta barrabandi
852,Pionopsitta caica
853,Pionopsitta haematotis
854,Pionopsitta pileata
