id_specie,Species
2,gigas
3,erectus
4,ingens
5,patagonicus
6,reidi
7,zosterae
8,cervicapra
9,guanicoe
10,vicugna
11,dichotomus
12,antisensis
13,bisulcus
14,temama
15,virginianus
16,bezoarticus
17,mephistophiles
18,puda
19,wagneri
20,tajacu
21,pecari
22,thous
23,brachyurus
24,culpaeus
25,fulvipes
26,griseus
27,gymnocercus
28,venaticus
29,braccatus
30,colocolo
31,geoffroyi
32,guigna
33,jacobitus
34,pajeros
35,pardalis
36,tigrinus
37,wiedii
38,onca
39,concolor
40,concolor
41,concolor
42,yagouaroundi
43,javanicus
44,javanicus
45,humboldtii
46,felina
47,longicaudis
48,provocax
49,brasiliensis
50,barbara
51,vittata
52,australis
53,galapagoensis
54,gazella
55,philippii
56,tropicalis
57,leonina
58,tropicalis
59,gabbii
60,sumichrasti
61,narica
62,nasua
63,flavus
64,ornatus
65,australis
66,glacialis
67,acutorostrata
68,bonaerensis
69,borealis
70,edeni
71,musculus
72,physalus
73,novaeangliae
74,commersonii
75,eutropia
76,capensis
77,delphis
78,attenuata
79,macrorhynchus
80,melas
81,griseus
82,hosei
83,australis
84,cruciger
85,obscurus
86,peronii
87,orca
88,electra
89,crassidens
90,fluviatilis
91,guianensis
92,attenuata
93,clymene
94,coeruleoalba
95,frontalis
96,longirostris
97,bredanensis
98,truncatus
99,geoffrensis
100,blainvillei
101,marginata
102,dioptrica
103,spinipinnis
104,breviceps
105,sima
106,macrocephalus
107,arnuxii
108,planifrons
109,bowdoini
110,densirostris
111,europaeus
112,ginkgodens
113,grayi
114,hectori
115,hotaula
116,layardii
117,mirus
118,peruvianus
119,traversii
120,shepherdi
121,cavirostris
122,lineatus
123,centralis
124,tatouay
125,nationi
126,maximus
127,bairdii
128,pinchaque
129,terrestris
130,pygmaeus
131,variegatus
132,hoffmanni
133,tridactyla
134,mexicana
135,azarae
136,hershkovitzi
137,jorgehernandezi
138,lemurinus
139,miconax
140,nancymaae
141,nigriceps
142,trivirgatus
143,vociferans
144,belzebul
145,caraya
146,coibensis
147,guariba
148,macconnelli
149,nigerrima
150,palliata
151,pigra
152,sara
153,seniculus
154,belzebuth
155,chamek
156,fusciceps
157,geoffroyi
158,geoffroyi
159,geoffroyi
160,hybridus
161,marginatus
162,paniscus
163,arachnoides
164,hypoxanthus
165,cana
166,lagotricha
167,lugens
168,poeppigii
169,flavicauda
170,goeldii
171,acariensis
172,argentata
173,aurita
174,chrysoleuca
175,emiliae
176,flaviceps
177,geoffroyi
178,humeralifera
179,humilis
180,intermedia
181,jacchus
182,kuhlii
183,leucippe
184,manicorensis
185,marcai
186,mauesi
187,melanura
188,nigriceps
189,penicillata
190,pygmaea
191,saterei
192,albifrons
193,apella
194,capucinus
195,flavius
196,kaapori
197,libidinosus
198,nigritus
199,olivaceus
200,xanthosternos
201,caissara
202,chrysomelas
203,chrysopygus
204,rosalia
205,rondoni
206,bicolor
207,fuscicollis
208,geoffroyi
209,graellsi
210,imperator
211,inustus
212,labiatus
213,leucopus
214,martinsi
215,melanoleucus
216,midas
217,mystax
218,niger
219,nigricollis
220,oedipus
221,pileatus
222,tripartitus
223,ursulus
224,boliviensis
225,collinsi
226,oerstedii
227,sciureus
228,ustus
229,vanzolinii
230,mona
231,sabaeus
232,calvus
233,melanocephalus
234,oukary
235,aureipalatii
236,baptista
237,barbarabrownae
238,bernhardi
239,brunneus
240,caligatus
241,caquetensis
242,cinerascens
243,coimbrai
244,cupreus
245,discolor
246,donacophilus
247,dubius
248,hoffmannsi
249,lucifer
250,lugens
251,medemi
252,melanochir
253,modestus
254,moloch
255,nigrifrons
256,oenanthe
257,olallae
258,ornatus
259,pallescens
260,personatus
261,purinus
262,regulus
263,stephennashi
264,torquatus
265,albinasus
266,chiropotes
267,israelita
268,satanas
269,utahickae
270,aequatorialis
271,albicans
272,chrysocephala
273,hirsuta
274,inusta
275,irrorata
276,milleri
277,monachus
278,napensis
279,pithecia
280,vanzolinii
281,chinchilla
282,lanigera
283,paca
284,punctata
285,mexicanus
286,spinosus
287,deppei
288,inunguis
289,manatus
290,coscoroba
291,melancoryphus
292,arborea
293,autumnalis
294,bicolor
295,melanotos
296,abeillei
297,melanogenys
298,aliciae
299,castelnaudii
300,cupripennis
301,pamela
302,coelestis
303,kingi
304,alticola
305,amabilis
306,amazilia
307,beryllina
308,boucardi
309,brevirostris
310,candida
311,castaneiventris
312,chionogaster
313,cupreicauda
314,cyanifrons
315,cyanocephala
316,cyanura
317,edward
318,fimbriata
319,franciae
320,lactea
321,leucogaster
322,luciae
323,rondoniae
324,rosenbergi
325,rutila
326,saucerrottei
327,tobaci
328,tzacatl
329,versicolor
330,violiceps
331,viridicauda
332,viridifrons
333,viridigaster
334,yucatanensis
335,aequatorialis
336,gounellei
337,floriceps
338,dominicus
339,mango
340,nigricollis
341,prevostii
342,recurvirostris
343,veraguensis
344,viridigula
345,cirrochloris
346,colubris
347,ellioti
348,lumachella
349,scutatus
350,leucotis
351,flavescens
352,jardini
353,matthewsii
354,amethystina
355,bryantae
356,evelynae
357,mitchellii
358,curvipennis
359,cuvierii
360,duidae
361,ensipennis
362,falcatus
363,hemileucurus
364,hyperythrus
365,largipennis
366,phainopeplus
367,rufus
368,villaviscensio
369,astreans
370,berlepschi
371,bombus
372,heliodor
373,jourdanii
374,mulsanti
375,herrani
376,heteropogon
377,olivaceum
378,ruficeps
379,stanleyi
380,buffonii
381,urochrysia
382,alice
383,assimilis
384,canivetii
385,lucidus
386,mellisugus
387,notatus
388,olivaresi
389,poortmani
390,ricordii
391,russatus
392,stenurus
393,swainsonii
394,mosquitus
395,oenone
396,rubricauda
397,bonapartei
398,coeligena
399,helianthea
400,iris
401,lutetiae
402,phalerata
403,prunellei
404,torquata
405,violifer
406,wilsoni
407,coruscans
408,delphinae
409,serrirostris
410,thalassinus
411,bicolor
412,julie
413,conversii
414,langsdorffi
415,letitiae
416,longicaudus
417,popelairii
418,enicura
419,johannae
420,ludovicae
421,chionura
422,cupreiceps
423,ensifera
424,alinae
425,cupreoventris
426,derbyi
427,glaucopoides
428,godini
429,isabellae
430,luciani
431,mirabilis
432,mosquera
433,nigrivestis
434,vestita
435,fulgens
436,holosericeus
437,jugularis
438,yarrellii
439,macroura
440,eximia
441,nigriventris
442,aquila
443,condamini
444,fusca
445,mellivora
446,aeneus
447,dohrnii
448,hirsutus
449,bella
450,violiceps
451,assimilis
452,aureliae
453,lugens
454,bilophus
455,amethysticollis
456,exortis
457,mavors
458,micraster
459,regalis
460,strophianus
461,viola
462,zusii
463,aurescens
464,branickii
465,gularis
466,imperatrix
467,jacula
468,leadbeateri
469,rubinoides
470,schreibersii
471,xanthogonys
472,constantii
473,furcifer
474,longirostris
475,squamosus
476,auritus
477,barroti
478,chrysura
479,cyanus
480,eliciae
481,grayi
482,sapphirina
483,macrocerca
484,guimeti
485,lafresnayi
486,amethystinus
487,calolaemus
488,castaneoventris
489,hemileucus
490,sybillae
491,viridipallens
492,rhami
493,coeruleogularis
494,goudoti
495,lilliae
496,nuna
497,victoriae
498,baeri
499,chlorocercus
500,fallax
501,taczanowskii
502,albicollis
503,mirabilis
504,adorabilis
505,chalybeus
506,delattrei
507,gouldii
508,helenae
509,magnificus
510,ornatus
511,pavoninus
512,stictolophus
513,helenae
514,minima
515,aeneocauda
516,baroni
517,eupogon
518,iracunda
519,odomae
520,phoebe
521,theresiae
522,tyrianthina
523,williami
524,albocoronata
525,burmeisteri
526,micrura
527,fanny
528,underwoodii
529,euryptera
530,nobilis
531,adela
532,chimborazo
533,estella
534,leucopleurus
535,melanogaster
536,cristatus
537,guerinii
538,insignis
539,gigas
540,aethopyga
541,anthophilus
542,atrimentalis
543,augusti
544,bourcieri
545,eurynome
546,griseogularis
547,guy
548,hispidus
549,idaliae
550,koepckeae
551,longirostris
552,longuemareus
553,malaris
554,nattereri
555,philippii
556,pretrei
557,ruber
558,rupurumii
559,squalidus
560,striigularis
561,stuarti
562,subochraceus
563,superciliosus
564,syrmatophorus
565,yaruqui
566,harterti
567,hemileucurus
568,caroli
569,guainumbi
570,milleri
571,theresiae
572,cyanopterus
573,naevius
574,dorsale
575,microrhynchum
576,vesper
577,sparganura
578,geoffroyi
579,ardens
580,flammula
581,platycercus
582,rufus
583,scintilla
584,fernandensis
585,sephanoides
586,lalandi
587,cyanopectus
588,griseiventris
589,hypostictus
590,colombica
591,fannyi
592,furcata
593,glaucopis
594,watertonii
595,cora
596,niger
597,ruckeri
598,dupontii
599,pella
600,pyra
601,polytmus
602,scitulus
603,bougueri
604,benjamini
605,bistriatus
606,borealis
607,mycteria
608,andinus
609,jamesi
610,chilensis
611,ruber
612,ruber
613,leucorodia
614,bicolor
615,collaris
616,cooperii
617,gundlachi
618,poliogaster
619,striatus
620,superciliosus
621,nitida
622,nigricollis
623,albicaudatus
624,albigula
625,albonotatus
626,brachyurus
627,galapagoensis
628,jamaicensis
629,leucorrhous
630,magnirostris
631,platypterus
632,poecilochrous
633,polyosoma
634,ridgwayi
635,swainsoni
636,ventralis
637,aequinoctialis
638,anthracinus
639,meridionalis
640,subtilis
641,urubitinga
642,uncinatus
643,uncinatus
644,buffoni
645,cinereus
646,cyaneus
647,forficatus
648,leucurus
649,swainsonii
650,melanoleucus
651,caerulescens
652,leucocephalus
653,bidentatus
654,diodon
655,harpyja
656,coronatus
657,solitarius
658,mississippiensis
659,plumbea
660,cayanensis
661,albicollis
662,kuhli
663,lacernulatus
664,melanops
665,occidentalis
666,plumbeus
667,polionotus
668,princeps
669,schistaceus
670,semiplumbeus
671,guianensis
672,isidori
673,unicinctus
674,hamatus
675,sociabilis
676,ornatus
677,tyrannus
678,melanoleucus
679,papa
680,gryphus
681,cheriway
682,plancus
683,ater
684,columbarius
685,deiroleucus
686,femoralis
687,peregrinus
688,rufigularis
689,sparverius
690,tinnunculus
691,cachinnans
692,americanus
693,buckleyi
694,gilvicollis
695,mintoni
696,mirandollei
697,plumbeus
698,ruficollis
699,semitorquatus
700,chimachima
701,chimango
702,albogularis
703,australis
704,carunculatus
705,megalopterus
706,circumcincta
707,haliaetus
708,alberti
709,blumenbachii
710,daubentoni
711,globulosa
712,rubra
713,mitu
714,derbianus
715,vetula
716,pauxi
717,albipennis
718,purpurascens
719,nigra
720,jacutinga
721,pipile
722,ocellata
723,cristatus
724,canadensis
725,canadensis
726,ornatus
727,penduliger
728,maculata
729,peruvianus
730,rupicola
731,atropurpurea
732,cristata
733,capitata
734,coronata
735,fastuosa
736,oryzivora
737,cucullata
738,yarrellii
739,flavus
740,apoda
741,ramphastinus
742,bailloni
743,aracari
744,castanotis
745,viridis
746,dicolorus
747,sulfuratus
748,toco
749,tucanus
750,vitellinus
751,maculirostris
752,gigas
753,aestiva
754,agilis
755,albifrons
756,amazonica
757,arausiaca
758,auropalliata
759,autumnalis
760,barbadensis
761,brasiliensis
762,collaria
763,dufresniana
764,farinosa
765,festiva
766,guildingii
767,imperialis
768,kawalli
769,leucocephala
770,mercenaria
771,ochrocephala
772,oratrix
773,pretrei
774,rhodocorytha
775,tucumana
776,ventralis
777,versicolor
778,vinacea
779,xantholora
780,xanthops
781,glaucus
782,hyacinthinus
783,leari
784,ambiguus
785,ararauna
786,chloropterus
787,glaucogularis
788,macao
789,militaris
790,rubrogenys
791,severus
792,acuticaudata
793,aurea
794,auricapillus
795,cactorum
796,canicularis
797,chloroptera
798,erythrogenys
799,euops
800,finschi
801,holochlora
802,jandaya
803,leucophthalma
804,maculata
805,mitrata
806,nana
807,pertinax
808,solstitialis
809,strenua
810,wagleri
811,weddellii
812,ferrugineifrons
813,lineola
814,orbygnesius
815,chiriri
816,chrysoptera
817,cyanoptera
818,jugularis
819,pyrrhoptera
820,sanctithomae
821,tirica
822,versicolurus
823,patagonus
824,spixii
825,accipitrinus
826,nobilis
827,ferrugineus
828,leptorhynchus
829,coelestis
830,conspicillatus
831,modestus
832,passerinus
833,xanthops
834,xanthopterygius
835,brachyurus
836,guarouba
837,amazonina
838,fuertesi
839,melanotis
840,pyrrhops
841,branickii
842,monachus
843,nenday
844,dachilleae
845,panychlora
846,icterotis
847,manilata
848,leucogaster
849,melanocephalus
850,aurantiocephala
851,barrabandi
852,caica
853,haematotis
854,pileata
855,pulchra
856,pyrilia
857,vulturina
858,chalcopterus
859,fuscus
860,maximiliani
861,menstruus
862,senilis
863,sordidus
864,tumultuosus
865,auricollis
866,couloni
867,maracana
868,aurifrons
869,aymara
870,albipectus
871,caeruleiceps
872,calliptera
873,cruentata
874,devillei
875,egregia
876,eisenmanni
877,frontalis
878,griseipectus
879,hoematotis
880,hoffmanni
881,lepida
882,leucotis
883,melanura
884,molinae
885,orcesi
886,parvifrons
887,perlata
888,pfrimeri
889,picta
890,rhodocephala
891,rupicola
892,subandina
893,viridicata
894,batavicus
895,costaricensis
896,dilectissimus
897,huetii
898,melanonotus
899,purpuratus
900,stictopterus
901,surdus
902,malachitacea
903,pennata
904,pennata
905,americana
906,humboldti
907,harrisii
908,ridgwayi
909,flammeus
910,otus
911,stygius
912,cunicularia
913,virginianus
914,huhula
915,nigrolineata
916,bolivianum
917,brasilianum
918,costaricanum
919,gnoma
920,griseiceps
921,hardyi
922,jardinii
923,minutissimum
924,mooreorum
925,nana
926,nubicola
927,parkeri
928,peruanum
929,siju
930,lawrencii
931,cristata
932,albogularis
933,atricapilla
934,barbarus
935,choliba
936,clarkii
937,colombianus
938,cooperi
939,flammeolus
940,guatemalae
941,hoyi
942,ingens
943,koepckeae
944,marshalli
945,petersoni
946,roboratus
947,sanctaecatarinae
948,trichopsis
949,vermiculatus
950,watsonii
951,clamator
952,grammicus
953,koeniswaldiana
954,melanota
955,perspicillata
956,albitarsis
957,chacoensis
958,fulvescens
959,hylophila
960,rufipes
961,virgata
962,loweryi
963,alba
964,glaucops
965,solitarius
966,mocinno
967,crocodilus
968,crocodilus
969,latirostris
970,niger
971,palpebrosus
972,trigonatus
973,acutus
974,intermedius
975,moreletii
976,rhombifer
977,anzuetoi
978,aurita
979,campbelli
980,frosti
981,gaiophantasma
982,meledona
983,horridum
984,horridum
985,cristatus
986,marthae
987,pallidus
988,subcristatus
989,bakeri
990,melanosterna
991,oedirhina
992,palearis
993,carinata
994,collei
995,cornuta
996,cychlura
997,nubila
998,ricordi
999,rileyi
1000,delicatissima
1001,iguana
1002,amazonicus
1003,guianensis
1004,paraguayensis
1005,salvator duseni
1006,salvator merianae
1007,salvator rufescens
1008,longilineus
1009,palustris
1010,quadrilineatus
1011,teguixin
1012,constrictor
1013,constrictor
1014,annulatus
1015,batesii
1016,caninus
1017,cookii
1018,cropanii
1019,grenadensis
1020,hortulanus
1021,ruschenbergerii
1022,alvarezi
1023,angulifer
1024,assisi
1025,cenchria
1026,chrysogaster
1027,crassus
1028,exsul
1029,fordii
1030,gracilis
1031,maurus
1032,striatus
1033,subflavus
1034,beniensis
1035,deschauenseei
1036,murinus
1037,notaeus
1038,clelia
1039,gigas
1040,diastema
1041,nigrocinctus
1042,ruatanus
1043,bicolor
1044,boulengeri
1045,gularis
1046,battersbyi
1047,bucculentus
1048,canus
1049,celiae
1050,curtus
1051,feicki
1052,fuscus
1053,galacelidus
1054,haetianus
1055,hardyi
1056,hendersoni
1057,jamaicensis
1058,maculatus
1059,melanurus
1060,morenoi
1061,nigriventris
1062,pardalis
1063,paucisquamis
1064,pilsbryi
1065,semicinctus
1066,spiritus
1067,stejnegeri
1068,stullae
1069,taczanowskyi
1070,wrighti
1071,xanthogaster
1072,continentalis
1073,panamensis
1074,durissus
1075,caretta
1076,mydas
1077,imbricata
1078,kempii
1079,olivacea
1080,mawii
1081,coriacea
1082,dumerilianus
1083,erythrocephala
1084,expansa
1085,lewyana
1086,sextuberculata
1087,unifilis
1088,vogli
1089,carbonarius
1090,chilensis
1091,denticulatus
1092,niger
1093,femoralis
1094,hodli
1095,myersi
1096,zaparo
1097,rufulus
1098,zeteki
1099,periglenes
1100,gayi
1101,castaneoticus
1102,galactonotus
1103,quinquevittatus
1104,altamazonica
1105,andina
1106,bassleri
1107,bilinguis
1108,boehmei
1109,boliviana
1110,braccata
1111,cainarachi
1112,erythromos
1113,flavopicta
1114,hahneli
1115,ignipedis
1116,ingeri
1117,labialis
1118,macero
1119,maculata
1120,parvula
1121,pepperi
1122,peruviridis
1123,petersi
1124,picta
1125,planipaleae
1126,pongoensis
1127,pulchripecta
1128,rubriventris
1129,silverstonei
1130,simulans
1131,smaragdina
1132,trivittata
1133,yoshina
1134,yungicola
1135,abditus
1136,altobueyensis
1137,bombetes
1138,claudiae
1139,daleswansoni
1140,dorisswansonae
1141,fulguritus
1142,minutus
1143,opisthomelas
1144,tolimensis
1145,viridis
1146,virolensis
1147,auratus
1148,leucomelas
1149,nubeculosus
1150,tinctorius
1151,truncatus
1152,anthonyi
1153,boulengeri
1154,espinosai
1155,machalilla
1156,narinensis
1157,tricolor
1158,captivus
1159,mysteriosus
1160,azureiventris
1161,steyermarki
1162,arborea
1163,granulifera
1164,histrionica
1165,lehmanni
1166,occultator
1167,pumilio
1168,speciosa
1169,sylvatica
1170,vicentei
1171,aurotaenia
1172,bicolor
1173,lugubris
1174,terribilis
1175,vittatus
1176,amazonica
1177,benedicta
1178,cyanovittata
1179,defleri
1180,fantastica
1181,flavovittata
1182,imitator
1183,reticulata
1184,sirensis
1185,summersi
1186,toraro
1187,uakarii
1188,vanzolinii
1189,variabilis
1190,ventrimaculata
1191,yavaricola
1192,annae
1193,callidryas
1194,moreletii
1195,saltator
1196,spurrelli
1197,culeus
1198,falciformis
1199,longimanus
1200,lewini
1201,mokarran
1202,zygaena
1203,maximus
1204,carcharias
1205,nasus
1206,birostris
1207,albimaculata
1208,amandae
1209,brachyura
1210,constellata
1211,falkneri
1212,henlei
1213,histrix
1214,humerosa
1215,jabuti
1216,leopoldi
1217,limai
1218,magdalenae
1219,ocellata
1220,pantanensis
1221,rex
1222,schroederi
1223,scobina
1224,signata
1225,wallacei
1226,yepezi
1227,typus
1228,microdon
1229,pectinata
1230,pristis
1231,fuscus
1232,albopilosum
1233,angustum
1234,embrithes
1235,fossorium
1236,sabulosum
1237,vagans
1238,satanas
1239,amydon
1240,godartii
1241,praeneste
1242,homerus
1243,nickliniana
1244,gigas
1245,brocheri
1246,muscarum
1247,picta
1248,sulphurosa
1249,venusta
1250,versicolor
1251,desbonni
1252,assimilis
1253,atlantica
1254,caribbeana
1255,furcata
1256,galapagensis
1257,gracilis
1258,lenta
1259,minor
1260,rubusiformis
1261,speciosa
1262,umbratica
1263,secchini
1264,spiralis
1265,fragilis
1266,gracilis
1267,lutkeni
1268,occidentalis
1269,pourtalesi
1270,humilis
1271,thyoides
1272,pedata
1273,salix
1274,filix
1275,abietina
1276,rigida
1277,colombiana
1278,formosa
1279,micracantha
1280,oligocrada
1281,americana
1282,heterorhodzos
1283,glaberrima
1284,panamensis
1285,fernandezii
1286,pennacea
1287,barbadensis
1288,hirta
1289,longipinnula
1290,tanacetum
1291,thalassoros
1292,thamnea
1293,bayeri
1294,galatheae
1295,patula
1296,ritamariae
1297,tetrasticha
1298,affinis
1299,crassa
1300,adinocrada
1301,americana
1302,columnaris
1303,litocrada
1304,contorta
1305,crispa
1306,cervicornis
1307,palmata
1308,prolifera
1309,valida
1310,agaricites
1311,fragilis
1312,grahamae
1313,humilis
1314,lamarcki
1315,tenuifolia
1316,undata
1317,planulata
1318,cucullata
1319,cailleti
1320,foliosa
1321,hawaiiensis
1322,papyracea
1323,scabra
1324,solida
1325,cactus
1326,chiriquiensis
1327,clavus
1328,frondifera
1329,gigantea
1330,maldivensis
1331,minuta
1332,varians
1333,xarifae
1334,patera
1335,intersepta
1336,carinata
1337,fecunda
1338,marchadi
1339,prolifera
1340,chilensis
1341,ambrosia
1342,antillarum
1343,barbadensis
1344,berteriana
1345,corrugata
1346,crypta
1347,diomedeae
1348,huinayensis
1349,paucipalata
1350,perculta
1351,polygona
1352,scobinosa
1353,smithii
1354,solida
1355,squiresi
1356,zopyros
1357,arbuscula
1358,debilis
1359,pacifica
1360,bowersi
1361,caribbeana
1362,parvulus
1363,arbuscula
1364,immersa
1365,jamaicaensis
1366,multipalifera
1367,laevigata
1368,vaughani
1369,galapagensis
1370,lymani
1371,variegata
1372,agassizii
1373,calcar
1374,eccentricus
1375,halianthus
1376,italicus
1377,moseleyi
1378,parvulus
1379,pourtalesi
1380,dianthus
1381,striatum
1382,fastigiata
1383,antoniae
1384,langae
1385,pertusa
1386,capitolii
1387,rotundifolia
1388,humilis
1389,pulchellus
1390,flos
1391,americana
1392,consagensis
1393,dispersa
1394,hondaensis
1395,isabela
1396,mayae
1397,senegalensis
1398,conferta
1399,cornuformis
1400,gerdae
1401,maculata
1402,variabilis
1403,coronatus
1404,diadema
1405,isabellae
1406,laevifundus
1407,nobilis
1408,paliferus
1409,cylindraceus
1410,endesa
1411,prahli
1412,recurvatus
1413,variabilis
1414,riisei
1415,fossulus
1416,laboreli
1417,rawsonii
1418,bayeri
1419,caribbeana
1420,cedrosensis
1421,cyathoides
1422,dineta
1423,floridana
1424,galapagensis
1425,hadros
1426,malouinensis
1427,palifera
1428,pittieri
1429,wellsi
1430,fallosocialis
1431,tintinnabulum
1432,eguchii
1433,gracilis
1434,manuelensis
1435,alternata
1436,californica
1437,johnsoni
1438,oldroydae
1439,cornucopia
1440,gaditana
1441,strigosa
1442,profunda
1443,rostrata
1444,grayi
1445,pourtalesi
1446,trinitatis
1447,goesi
1448,pulchra
1449,verrilli
1450,wellingtoni
1451,socialis
1452,infundibulum
1453,coccinea
1454,faulkneri
1455,floreana
1456,tagusensis
1457,amaranthus
1458,breviserialis
1459,natans
1460,clivosa
1461,labyrinthiformis
1462,strigosa
1463,favus
1464,fragum
1465,gravida
1466,leptophylla
1467,purpurea
1468,areolata
1469,annularis
1470,cavernosa
1471,faveolata
1472,franksi
1473,bournonii
1474,hyades
1475,apertum
1476,areum
1477,atlanticum
1478,curvatum
1479,daphnense
1480,floridanum
1481,moseleyi
1482,thouarsii
1483,cailleti
1484,pseudoalabastra
1485,frustum
1486,fragilis
1487,montereyensis
1488,wellsi
1489,truncum
1490,crispus
1491,marenzelleri
1492,pliciseptus
1493,pseudostephanus
1494,symmetricus
1495,curvata
1496,distorta
1497,erosa
1498,vaughani
1499,minor
1500,paradoxa
1501,simplex
1502,annulata
1503,hispidus
1504,fissilis
1505,vermiformis
1506,cylindrus
1507,stellaris
1508,stokesii
1509,brasiliensis
1510,maeandrites
1511,discus
1512,hypocoelus
1513,rigida
1514,sinuosa
1515,angulosa
1516,braziliensis
1517,harttii
1518,hispida
1519,aliciae
1520,daniana
1521,ferox
1522,lamarckiana
1523,reesi
1524,cubensis
1525,lacera
1526,wellsii
1527,candida
1528,carolina
1529,oculata
1530,diffusa
1531,patagonica
1532,profunda
1533,tenella
1534,valenciennesi
1535,varicosa
1536,fissipara
1537,asperula
1538,auretenra
1539,brueggemanni
1540,carmabi
1541,decactis
1542,formosa
1543,fragilis
1544,myriaster
1545,pharensis
1546,senaria
1547,capitata
1548,damicornis
1549,danae
1550,elegans
1551,eydouxi
1552,inflata
1553,ligulata
1554,meandrina
1555,verrucosa
1556,woodjonesi
1557,astreoides
1558,branneri
1559,colonensis
1560,divaricata
1561,furcata
1562,lobata
1563,panamensis
1564,porites
1565,rus
1566,browni
1567,costata
1568,dentata
1569,equatorialis
1570,haimei
1571,howardi
1572,rathbuni
1573,solitaria
1574,rubeola
1575,stellata
1576,inflata
1577,bradleyi
1578,brighami
1579,contigua
1580,profundacella
1581,stellata
1582,superficialis
1583,glynni
1584,radians
1585,savignyana
1586,siderea
1587,stellata
1588,stimpsonii
1589,folliculus
1590,avis
1591,auritus
1592,gardineri
1593,hancocki
1594,lindstroemi
1595,corbicula
1596,alcicornis
1597,boschmai
1598,braziliensis
1599,complanata
1600,intricata
1601,nitida
1602,platyphylla
1603,squarrosa
1604,striata
1605,pseudothyron
1606,pulvinatum
1607,cymas
1608,dactylopoma
1609,eueides
1610,gigantea
1611,glebulenta
1612,glossopoma
1613,insolita
1614,lacunosa
1615,papillosa
1616,peircei
1617,pudica
1618,stenopoma
1619,tenuiseptata
1620,anomala
1621,barbadensis
1622,cervina
1623,contorta
1624,laevigranulosa
1625,robusta
1626,sulcata
1627,uniserialis
1628,antarctica
1629,boschmai
1630,cochleata
1631,macrogastra
1632,reticulum
1633,labiata
1634,biserialis
1635,carinata
1636,clavigera
1637,decipiens
1638,glabra
1639,brochi
1640,macropora
1641,pourtalesi
1642,echinatus
1643,fistulosus
1644,symmetricus
1645,tubulatus
1646,dichotoma
1647,echinata
1648,concinna
1649,pauciseptata
1650,profunda
1651,antillarum
1652,aurantiacus
1653,cocosensis
1654,complanatus
1655,corallium
1656,densicaulis
1657,divergens
1658,duchassaingii
1659,erubescens
1660,filogranus
1661,galapagensis
1662,laevigatus
1663,marenzelleri
1664,miniatus
1665,profundus
1666,roseus
